,Location,count,mean,std,min,25%,50%,75%,max,address
1005,19TH AVE PATTERSON ST FE,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,19TH & PATTERSON
1006,19TH AVE POTTER ST HARRI,84.0,2.71428571429,7.92520978183,0.0,0.0,0.0,0.0,30.0,19TH & POTTER
1007,19TH AVE POTTER ST ONYX,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,19TH & POTTER
1008,19TH AVE POTTER ST UNIVE,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19TH & POTTER
1009,19TH AVE UNIVERSITY ST,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,19TH & UNIVERSITY
1010,19TH AVE UNIVERSITY ST A,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19TH & UNIVERSITY
1011,19TH AVE UNIVERSITY ST H,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19TH & UNIVERSITY
1012,19TH AVE UNIVERSITY ST O,93.0,2.12903225806,7.00190316745,0.0,0.0,0.0,0.0,30.0,19TH & UNIVERSITY
1013,19TH AVE UNIVERSITY ST P,100.0,1.85,6.46259634475,0.0,0.0,0.0,0.0,30.0,19TH & UNIVERSITY
1014,19TH AVE VILLARD ST MOSS,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,19TH & VILLARD
1015,19TH AVE WILLAMETTE OLIV,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19TH AVE WILLAMETTE OLIV
1016,19TH AVE WLM OLIVE ST,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19TH & OLIVE
1017,19TH WEST OF ALDER,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,19TH WEST OF ALDER
1018,1ST & JEFFERSON (WA/JEFF PARK),1.0,0.0,,0.0,0.0,0.0,0.0,0.0,1ST & JEFFERSON (WA/JEFF PARK)
1019,1ST AVE PREMIER BERTELSE,1.0,50.0,,50.0,50.0,50.0,50.0,50.0,1ST AVE PREMIER BERTELSE
1020,1ST AVE WASHINGTON ST LA,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1ST & WASHINGTON
1021,"1ST LEVEL , LOT 31",1.0,0.0,,0.0,0.0,0.0,0.0,0.0,"1ST LEVEL , LOT 31"
1022,"1ST LEVEL, LOT 31",1.0,0.0,,0.0,0.0,0.0,0.0,0.0,"1ST LEVEL, LOT 31"
1023,200 BLOCK MILL ST,1.0,180.0,,180.0,180.0,180.0,180.0,180.0,200 BLOCK MILL ST
1024,200 BLOCKADAMS ST,1.0,30.0,,30.0,30.0,30.0,30.0,30.0,200 BLOCKADAMS ST
1025,200 BLOCKE.16TH,1.0,50.0,,50.0,50.0,50.0,50.0,50.0,200 BLOCKE.16TH
1026,200 BLOCKJACKSON,1.0,50.0,,50.0,50.0,50.0,50.0,50.0,200 BLOCKJACKSON
1027,200 BLOCKJEFFERSON ST,1.0,50.0,,50.0,50.0,50.0,50.0,50.0,200 BLOCKJEFFERSON ST
1028,200 BLOCKLA CASA,1.0,50.0,,50.0,50.0,50.0,50.0,50.0,200 BLOCKLA CASA
1029,200 BLOCKMADISON,1.0,50.0,,50.0,50.0,50.0,50.0,50.0,200 BLOCKMADISON
1030,200 BLOCKMILL ST,1.0,50.0,,50.0,50.0,50.0,50.0,50.0,200 BLOCKMILL ST
1031,200 BLOCKN.ADAMS,1.0,50.0,,50.0,50.0,50.0,50.0,50.0,200 BLOCKN.ADAMS
1032,200 BLOCKW.14TH,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200 BLOCKW.14TH
1033,200 MARCHE CHASE,10.0,9.0,14.4913767462,0.0,0.0,0.0,22.5,30.0,200 MARCHE CHASE
1034,2000 BLK WASHINGTON,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,2000 BLK WASHINGTON
1035,2000 BLKE.15TH SOUTHSIDE,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,2000 BLKE.15TH SOUTHSIDE
1036,2000 BLKGARDEN AVE,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2000 BLKGARDEN AVE
1037,2000 BLKPOTTER ST,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,2000 BLKPOTTER ST
1038,2000 BLOCK DAKOTA,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,2000 BLOCK DAKOTA
1039,2000 BLOCKCRIMSON,2.0,115.0,91.9238815543,50.0,82.5,115.0,147.5,180.0,2000 BLOCKCRIMSON
1040,2000 BLOCKDAKOTA,2.0,40.0,14.1421356237,30.0,35.0,40.0,45.0,50.0,2000 BLOCKDAKOTA
1041,2000 BLOCKEMPIRE PARK,1.0,50.0,,50.0,50.0,50.0,50.0,50.0,2000 BLOCKEMPIRE PARK
1042,2000 BLOCKGARFIELD,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,2000 BLOCKGARFIELD
1043,2000 BLOCKOLIVE ST,1.0,50.0,,50.0,50.0,50.0,50.0,50.0,2000 BLOCKOLIVE ST
1044,2000 BLOCKPOTTER ST,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,2000 BLOCKPOTTER ST
1045,2000CRIMSON,1.0,180.0,,180.0,180.0,180.0,180.0,180.0,2000CRIMSON
1046,2002GRANT,2.0,115.0,91.9238815543,50.0,82.5,115.0,147.5,180.0,2002GRANT
1047,2003CITY VIEW,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,2003CITY VIEW
1048,2010MCLEAN,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,2010MCLEAN
1049,2018GARDEN AVE,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018GARDEN AVE
1050,2020 KIMBERLY DR,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,2020 KIMBERLY DR
1051,2025 WASHINGTON,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,2025 WASHINGTON
1052,2042ONYX ST,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,2042ONYX ST
1053,2042WASHINGTON ST,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2042WASHINGTON ST
1054,2050GARDEN AVE,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,2050GARDEN AVE
1055,2056 MINDA,1.0,150.0,,150.0,150.0,150.0,150.0,150.0,2056 MINDA
1056,2056GOLDEN GARDEN,2.0,115.0,91.9238815543,50.0,82.5,115.0,147.5,180.0,2056GOLDEN GARDEN
1057,2056KINCAID ST,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,2056KINCAID ST
1058,2056MINDA,3.0,146.666666667,57.735026919,80.0,130.0,180.0,180.0,180.0,2056MINDA
1059,2066 PRASLIN,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,2066 PRASLIN
1060,2084 WILLAMETTE STREET,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,2084 WILLAMETTE STREET
1061,2093LAWRENCE ST,1.0,50.0,,50.0,50.0,50.0,50.0,50.0,2093LAWRENCE ST
1062,20TH & EMERALD AREA,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,20TH & EMERALD AREA
1063,20TH AVE - HARRIS AND POTTER,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,20TH AVE - HARRIS AND POTTER
1064,20TH AVE -KINCAID TO HARRIS,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,20TH AVE -KINCAID TO HARRIS
1065,20TH AVE 1473,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,20TH AVE 1473
1066,20TH AVE @ HILYARD,1.0,30.0,,30.0,30.0,30.0,30.0,30.0,20TH AVE @ HILYARD
1067,20TH AVE @ POTTER,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,20TH AVE @ POTTER
1068,20TH AVE @ UNIVERSITY,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,20TH AVE @ UNIVERSITY
1069,20TH AVE AGATE ST EMERAL,38.0,4.26315789474,9.34817285378,0.0,0.0,0.0,0.0,30.0,20TH & AGATE
1070,20TH AVE ALDER ST HILYAR,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20TH & ALDER
1071,20TH AVE ALDER ST KINCAI,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20TH & ALDER
1072,20TH AVE EMERALD ST AGAT,31.0,8.90322580645,12.2837422059,0.0,0.0,0.0,24.0,30.0,20TH & EMERALD
1073,20TH AVE EMERALD ST ONYX,44.0,4.63636363636,9.40828657285,0.0,0.0,0.0,0.0,24.0,20TH & EMERALD
1074,20TH AVE EMERALD ST UNIV,2.0,12.0,16.9705627485,0.0,6.0,12.0,18.0,24.0,20TH & EMERALD
1075,20TH AVE HARRIS ST KINCA,34.0,3.0,8.38830354503,0.0,0.0,0.0,0.0,30.0,20TH & HARRIS
1076,20TH AVE HARRIS ST POTTE,22.0,1.09090909091,5.11681719253,0.0,0.0,0.0,0.0,24.0,20TH & HARRIS
1077,20TH AVE HILYARD ST ALDE,44.0,2.72727272727,7.70491729537,0.0,0.0,0.0,0.0,24.0,20TH & HILYARD
1078,20TH AVE HILYARD ST PATT,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,20TH & HILYARD
1079,20TH AVE KINCAID ST ALDE,15.0,5.2,10.8443533694,0.0,0.0,0.0,0.0,30.0,20TH & KINCAID
1080,20TH AVE KINCAID ST HARL,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,20TH & KINCAID
1081,20TH AVE KINCAID ST HARR,69.0,1.65217391304,6.16399910046,0.0,0.0,0.0,0.0,30.0,20TH & KINCAID
1082,20TH AVE KINCAID ST ONYX,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,20TH & KINCAID
1083,20TH AVE KINCAID TO HARRIS,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,20TH AVE KINCAID TO HARRIS
1084,20TH AVE ONYX ST AGATE S,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,20TH & ONYX
1085,20TH AVE ONYX ST EMERALD,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20TH & ONYX
1086,20TH AVE ONYX ST UNIVERS,35.0,2.22857142857,7.43238428329,0.0,0.0,0.0,0.0,30.0,20TH & ONYX
1087,20TH AVE PATTERSON ST HI,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,20TH & PATTERSON
1088,20TH AVE POTTER ST HARRI,30.0,1.8,6.89527574403,0.0,0.0,0.0,0.0,30.0,20TH & POTTER
1089,20TH AVE POTTER ST KINCA,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,20TH & POTTER
1090,20TH AVE POTTER ST UNIVE,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20TH & POTTER
1091,20TH AVE TO 21ST AVE ALL,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20TH & 21ST
1092,20TH AVE UNIVERSITY ST H,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,20TH & UNIVERSITY
1093,20TH AVE UNIVERSITY ST O,41.0,0.585365853659,3.74817028533,0.0,0.0,0.0,0.0,24.0,20TH & UNIVERSITY
1094,20TH AVE UNIVERSITY ST P,24.0,3.75,10.1349588704,0.0,0.0,0.0,0.0,30.0,20TH & UNIVERSITY
1095,21,53.0,2.2641509434,7.08234789241,0.0,0.0,0.0,0.0,24.0,21
1096,2100 BLKEASTWOOD,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,2100 BLKEASTWOOD
1097,2100 BLOCKCRESCENT AVE,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,2100 BLOCKCRESCENT AVE
1098,2100 BLOCKDAKOTA,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,2100 BLOCKDAKOTA
1099,2103 W. 10TH AVE,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,2103 W. 10TH AVE
1100,210N.ADAMS,1.0,180.0,,180.0,180.0,180.0,180.0,180.0,210N.ADAMS
1101,2115AUGUSTA,1.0,50.0,,50.0,50.0,50.0,50.0,50.0,2115AUGUSTA
1102,2120AMIRANTE,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2120AMIRANTE
1103,2127LINCOLN ST,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,2127LINCOLN ST
1104,2145ARTHUR,1.0,50.0,,50.0,50.0,50.0,50.0,50.0,2145ARTHUR
1105,215 SILVER LANE,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,215 SILVER LANE
1106,2150 ONYX,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,2150 ONYX
1107,2159E.17TH,1.0,50.0,,50.0,50.0,50.0,50.0,50.0,2159E.17TH
1108,2160 PRIMROSE,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,2160 PRIMROSE
1109,2164PRIMROSE,2.0,115.0,91.9238815543,50.0,82.5,115.0,147.5,180.0,2164PRIMROSE
1110,2190BRITTANY,2.0,115.0,91.9238815543,50.0,82.5,115.0,147.5,180.0,2190BRITTANY
1111,2198PRIMROSE,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,2198PRIMROSE
1112,21ST AVE AGATE ST EMERAL,20.0,6.3,11.2628873553,0.0,0.0,0.0,6.0,30.0,21ST & AGATE
1113,21ST AVE ALDER ST KINCAI,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21ST & ALDER
1114,21ST AVE EMERALD ST AGAT,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21ST & EMERALD
1115,21ST AVE EMERALD ST ONYX,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21ST & EMERALD
1116,21ST AVE HARRIS ST ALDER,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,21ST & HARRIS
1117,21ST AVE HARRIS ST KINCA,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21ST & HARRIS
1118,21ST AVE HARRIS ST POTTE,11.0,10.9090909091,12.5335912288,0.0,0.0,0.0,24.0,24.0,21ST & HARRIS
1119,21ST AVE HILYARD ST ALDE,2.0,15.0,21.2132034356,0.0,7.5,15.0,22.5,30.0,21ST & HILYARD
1120,21ST AVE JEFFERSON ST WA,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21ST & JEFFERSON
1121,21ST AVE KINCAID ST ALDE,32.0,3.0,8.06425806039,0.0,0.0,0.0,0.0,24.0,21ST & KINCAID
1122,21ST AVE KINCAID ST AND HARRIS ST,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,21ST & KINCAID
1123,21ST AVE KINCAID ST HARR,6.0,4.0,9.79795897113,0.0,0.0,0.0,0.0,24.0,21ST & KINCAID
1124,21ST AVE KINCAID ST POTT,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,21ST & KINCAID
1125,21ST AVE ONYX ST EMERALD,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21ST & ONYX
1126,21ST AVE ONYX ST UNIVERS,10.0,7.8,12.6649121592,0.0,0.0,0.0,18.0,30.0,21ST & ONYX
1127,21ST AVE POTTER ST HARRI,9.0,3.33333333333,10.0,0.0,0.0,0.0,0.0,30.0,21ST & POTTER
1128,21ST AVE POTTER ST KINCA,1.0,24.0,,24.0,24.0,24.0,24.0,24.0,21ST & POTTER
1129,21ST AVE POTTER ST UNIVE,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21ST & POTTER
1130,21ST AVE UNIVERSITY ST O,13.0,6.46153846154,12.3599850635,0.0,0.0,0.0,0.0,30.0,21ST & UNIVERSITY
1131,21ST AVE UNIVERSITY ST P,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21ST & UNIVERSITY
1132,21ST AVE WASHINGTON ST J,2.0,15.0,21.2132034356,0.0,7.5,15.0,22.5,30.0,21ST & WASHINGTON
1133,21ST- ALDER TO KINCAID,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,21ST- ALDER TO KINCAID
1134,2200 BIRCH,1.0,30.0,,30.0,30.0,30.0,30.0,30.0,2200 BIRCH
1135,2200 BLK HILYARD,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,2200 BLK HILYARD
1136,2200 BLK. E 20TH ST.,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,2200 BLK. E 20TH ST.
1137,2200 BLOCKDAKOTA,2.0,115.0,91.9238815543,50.0,82.5,115.0,147.5,180.0,2200 BLOCKDAKOTA
1138,2209OHIO,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,2209OHIO
1139,2212ONYX ST,4.0,45.0,90.0,0.0,0.0,0.0,45.0,180.0,2212ONYX ST
1140,2222 MARTIN LUTHER KING BLVD,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,2222 MARTIN LUTHER KING BLVD
1141,2225CRESCENT AVE,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,2225CRESCENT AVE
1142,2229 KINCAID,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,2229 KINCAID
1143,222STERLING,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,222STERLING
1144,225 MADISON,1.0,30.0,,30.0,30.0,30.0,30.0,30.0,225 MADISON
1145,2250PATTERSON ST,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,2250PATTERSON ST
1146,2251 BIRCHWOOD,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,2251 BIRCHWOOD
1147,2265DAKOTA,1.0,25.0,,25.0,25.0,25.0,25.0,25.0,2265DAKOTA
1148,2267BRITTANY,1.0,30.0,,30.0,30.0,30.0,30.0,30.0,2267BRITTANY
1149,2271 BIRCH,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,2271 BIRCH
1150,2272LASATER,1.0,50.0,,50.0,50.0,50.0,50.0,50.0,2272LASATER
1151,2280 ROOSEVELT,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,2280 ROOSEVELT
1152,2284IRONWOOD,2.0,115.0,91.9238815543,50.0,82.5,115.0,147.5,180.0,2284IRONWOOD
1153,2288POTTER ST,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,2288POTTER ST
1154,2294DEVOS,1.0,50.0,,50.0,50.0,50.0,50.0,50.0,2294DEVOS
1155,2295DAKOTA,1.0,50.0,,50.0,50.0,50.0,50.0,50.0,2295DAKOTA
1156,2296DEVOS,2.0,115.0,91.9238815543,50.0,82.5,115.0,147.5,180.0,2296DEVOS
1157,22ND AVE @ HILYARD,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,22ND AVE @ HILYARD
1158,22ND AVE AGATE ST EMERAL,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,22ND & AGATE
1159,22ND AVE ALDER ST HILYAR,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22ND & ALDER
1160,22ND AVE ALDER ST KINCAI,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,22ND & ALDER
1161,22ND AVE EMERALD ST AGAT,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,22ND & EMERALD
1162,22ND AVE EMERALD ST ONYX,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,22ND & EMERALD
1163,22ND AVE HILYARD ST ALDE,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22ND & HILYARD
1164,22ND AVE HILYARD ST PATT,1.0,50.0,,50.0,50.0,50.0,50.0,50.0,22ND & HILYARD
1165,22ND AVE KINCAID ST HARR,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,22ND & KINCAID
1166,22ND AVE ONYX ST EMERALD,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,22ND & ONYX
1167,22ND AVE ONYX ST UNIVERS,8.0,3.0,8.48528137424,0.0,0.0,0.0,0.0,24.0,22ND & ONYX
1168,22ND AVE POTTER ST HARRI,8.0,6.0,11.1098411973,0.0,0.0,0.0,6.0,24.0,22ND & POTTER
1169,22ND AVE POTTER ST UNIVE,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22ND & POTTER
1170,22ND AVE UNIVERSITY ST O,13.0,6.0,11.4891252931,0.0,0.0,0.0,0.0,30.0,22ND & UNIVERSITY
1171,22ND AVE UNIVERSITY ST P,4.0,7.5,15.0,0.0,0.0,0.0,7.5,30.0,22ND & UNIVERSITY
1172,23,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,23
1173,2300 BLKAGATE ST,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,2300 BLKAGATE ST
1174,2300 BLKN TERRY WESTSIDE,4.0,25.0,28.8675134595,0.0,0.0,25.0,50.0,50.0,2300 BLKN TERRY WESTSIDE
1175,2300 BLOCK JEFFERSON,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,2300 BLOCK JEFFERSON
1176,2300 BLOCKFILMORE,2.0,130.0,70.7106781187,80.0,105.0,130.0,155.0,180.0,2300 BLOCKFILMORE
1177,2300 BLOCKN.TERRY,16.0,49.375,57.557941821,0.0,0.0,50.0,50.0,180.0,2300 BLOCKN.TERRY
1178,2323 AUGUSTA,1.0,50.0,,50.0,50.0,50.0,50.0,50.0,2323 AUGUSTA
1179,2323UNIVERSITY ST,1.0,50.0,,50.0,50.0,50.0,50.0,50.0,2323UNIVERSITY ST
1180,2337 GRANT,1.0,180.0,,180.0,180.0,180.0,180.0,180.0,2337 GRANT
1181,235 COBURG RD,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,235 COBURG RD
1182,235 COBURG ROAD,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,235 COBURG ROAD
1183,2350N.TERRY,8.0,60.0,51.5474815791,0.0,50.0,50.0,50.0,180.0,2350N.TERRY
1184,2357CRESCENT AVE,1.0,40.0,,40.0,40.0,40.0,40.0,40.0,2357CRESCENT AVE
1185,2375 CITYVIEW,1.0,30.0,,30.0,30.0,30.0,30.0,30.0,2375 CITYVIEW
1186,2375W.14TH,1.0,180.0,,180.0,180.0,180.0,180.0,180.0,2375W.14TH
1187,23RD AVE @ AGATE,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,23RD AVE @ AGATE
1188,23RD AVE @ POTTER,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,23RD AVE @ POTTER
1189,23RD AVE AGATE ST COLUMB,2.0,15.0,21.2132034356,0.0,7.5,15.0,22.5,30.0,23RD & AGATE
1190,23RD AVE ALDER ST KINCAI,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,23RD & ALDER
1191,23RD AVE EMERALD ST ONYX,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,23RD & EMERALD
1192,23RD AVE HARRIS ST KINCA,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23RD & HARRIS
1193,23RD AVE HARRIS ST POTTE,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23RD & HARRIS
1194,23RD AVE HILYARD ST ALDE,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23RD & HILYARD
1195,23RD AVE KINCAID ST ALDE,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,23RD & KINCAID
1196,23RD AVE KINCAID ST HARR,1.0,30.0,,30.0,30.0,30.0,30.0,30.0,23RD & KINCAID
1197,23RD AVE UNIVERSITY ST H,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,23RD & UNIVERSITY
1198,23RD AVE UNIVERSITY ST O,2.0,15.0,21.2132034356,0.0,7.5,15.0,22.5,30.0,23RD & UNIVERSITY
1199,23RD AVE UNIVERSITY ST P,4.0,20.0,24.4948974278,0.0,0.0,15.0,35.0,50.0,23RD & UNIVERSITY
1200,2400 BLK OLIVE STREET,1.0,50.0,,50.0,50.0,50.0,50.0,50.0,2400 BLK OLIVE STREET
1201,2400 BLOCKALDER ST,2.0,115.0,91.9238815543,50.0,82.5,115.0,147.5,180.0,2400 BLOCKALDER ST
1202,2400 BLOCKOLIVE ST,1.0,180.0,,180.0,180.0,180.0,180.0,180.0,2400 BLOCKOLIVE ST
1203,2400 BLOCKUNIVERSITY ST,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,2400 BLOCKUNIVERSITY ST
1204,2410LAURELHURST,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,2410LAURELHURST
1205,2412MELROSE LOOP,1.0,50.0,,50.0,50.0,50.0,50.0,50.0,2412MELROSE LOOP
1206,2445 WIILLAKENZIE,1.0,30.0,,30.0,30.0,30.0,30.0,30.0,2445 WIILLAKENZIE
1207,2445 WILLAKENZIE,16.0,10.0,26.0768096208,0.0,0.0,0.0,0.0,100.0,2445 WILLAKENZIE
1208,2445 WILLAKENZIE SHELDON,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,2445 WILLAKENZIE SHELDON
1209,2445PRIMROSE,1.0,25.0,,25.0,25.0,25.0,25.0,25.0,2445PRIMROSE
1210,2445TYLER,2.0,115.0,91.9238815543,50.0,82.5,115.0,147.5,180.0,2445TYLER
1211,2456MINDA,1.0,50.0,,50.0,50.0,50.0,50.0,50.0,2456MINDA
1212,2463LARIAT MEADOWS,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,2463LARIAT MEADOWS
1213,2465CROWTHER,1.0,50.0,,50.0,50.0,50.0,50.0,50.0,2465CROWTHER
1214,2475 SHELDON VILLAGE LP,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2475 SHELDON VILLAGE LP
1215,249 BROADWAY,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,249 BROADWAY
1216,24TH AVE 1676,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,24TH AVE 1676
1217,24TH AVE @ AGATE,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,24TH AVE @ AGATE
1218,24TH AVE @ PATTERSON,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24TH AVE @ PATTERSON
1219,24TH AVE AGATE ST EMERAL,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,24TH & AGATE
1220,24TH AVE AGATE ST FAIRMO,1.0,30.0,,30.0,30.0,30.0,30.0,30.0,24TH & AGATE
1221,24TH AVE COLUMBIA ST AGA,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,24TH & COLUMBIA
1222,24TH AVE EMERALD ST AGAT,2.0,24.0,0.0,24.0,24.0,24.0,24.0,24.0,24TH & EMERALD
1223,24TH AVE EMERALD ST ONYX,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,24TH & EMERALD
1224,24TH AVE HARRIS ST KINCA,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,24TH & HARRIS
1225,24TH AVE HILYARD ST E.AM,1.0,30.0,,30.0,30.0,30.0,30.0,30.0,24TH & HILYARD
1226,24TH AVE UNIVERSITY ST O,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24TH & UNIVERSITY
1227,24TH AVE UNIVERSITY ST P,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,24TH & UNIVERSITY
1228,24TH PLACE,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,24TH PLACE
1229,2500 BLOCKBORDERS DR,5.0,7.8,7.52994023881,0.0,0.0,9.0,15.0,15.0,2500 BLOCKBORDERS DR
1230,2500 BLOCKELYSIUM,1.0,80.0,,80.0,80.0,80.0,80.0,80.0,2500 BLOCKELYSIUM
1231,2500 BLOCKPORTLAND,3.0,146.666666667,57.735026919,80.0,130.0,180.0,180.0,180.0,2500 BLOCKPORTLAND
1232,2500 BLOCKUNIVERSITY ST,2.0,115.0,91.9238815543,50.0,82.5,115.0,147.5,180.0,2500 BLOCKUNIVERSITY ST
1233,2500 BLOCKWOOD,1.0,50.0,,50.0,50.0,50.0,50.0,50.0,2500 BLOCKWOOD
1234,2506POTTER ST,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,2506POTTER ST
1235,2515 ELYSIUM,2.0,130.0,70.7106781187,80.0,105.0,130.0,155.0,180.0,2515 ELYSIUM
1236,2515WILLONA,4.0,30.0,0.0,30.0,30.0,30.0,30.0,30.0,2515WILLONA
